recno,Karmn,Name,GJ,RAICRS,DEICRS,SpType,l_vsini,vsini,Age,factive,SimbadName,_RA_icrs,_DE_icrs
65,"J06246+234 ",Ross 64,"   232",96.17462499999999,23.430861111111106,M4.0V,<,2.0,5.0,0,Ross 64,96.17462499999999,23.430861111111106
66,"J06371+175 ",HD 260655,"   239",99.29154166666665,17.566277777777774,M0.0V,<,2.0,5.0,0,HD 260655,99.29154166666665,17.566277777777774
67,"J06396-210 ",LP 780-032,"     0",99.90499999999999,-21.025,M4.0V,<,2.0,5.0,0,LP 780-032,99.90499999999999,-21.025
68,"J06421+035 ",G 108-021," 3404A",100.54683333333332,3.580166666666666,M3.5V,<,2.0,5.0,0,G 108-021,100.54683333333332,3.580166666666666
69,"J06548+332 ",Wolf 294,"   251",103.70024999999998,33.26647222222222,M3.0V,<,2.0,0.3,0,Wolf 294,103.70024999999998,33.26647222222222
70,"J06574+740 ",2M J06572616+7405265,"     0",104.35799999999999,74.091,M4.0V," ",27.1,5.0,0,2MASS J06572616+7405265,104.35799999999999,74.091
71,"J06594+193 ",GJ 1093,"  1093",104.87420833333331,19.345,M5.0V,<,2.0,5.0,1,GJ 1093,104.87420833333331,19.345
72,"J07033+346 ",LP 255-011,"  3423",105.84624999999998,34.69822222222222,M4.0V,<,2.0,5.0,0,LP 255-011,105.84624999999998,34.69822222222222
73,"J07044+682 ",GJ 258,"   258",106.11212499999999,68.28899999999999,M3.0V,<,2.0,5.0,0,GJ 258,106.11212499999999,68.28899999999999
74,"J07274+052 ",Luyten's Star,"   273",111.85499999999999,5.209,M3.5V,<,2.0,5.0,0,Luyten's Star,111.85499999999999,5.209
75,"J07287-032 ",GJ 1097,"  1097",112.19120833333332,-3.3015277777777774,M3.0V,<,2.0,5.0,0,GJ 1097,112.19120833333332,-3.3015277777777774
76,J07319+362N,BL Lyn,"  277C",112.98741666666665,36.228694444444436,M3.5V,<,2.0,0.3,1,BL Lyn,112.98741666666665,36.228694444444436
77,"J07353+548 ",GJ 3452,"  3452",113.84033333333332,54.84977777777777,M2.0V,<,2.0,0.3,0,GJ 3452,113.84033333333332,54.84977777777777
