PM,CNS3,RAJ2000,DEJ2000,pmRA,pmDE,Xray,HR1,FUV,NUV,Vmag,n_Vmag,Jmag,Hmag,Kmag,Obs,Date,CaH2,CaH3,TiO5,VO1,TiO6,VO2,Mst,SpT,zeta,logg,Teff,P,M,plx,e_plx,plx2,e_plx2,plx3,e_plx3,Uvel,Vvel,Wvel,EWHa,H,X,U,LSPM,2M,SimbadName
I18163+0131,Gl  708.3,274.075745,1.524298,-0.412,-0.627,,,,,13.18,P,8.74,8.19,7.89,UH22,5790.84,0.456,0.714,0.505,0.937,0.783,0.884,3.07,M3.0,0.95,5.0,3370,P,,0.0601,0.012,0.051,0.02,0.064,0.019,,-51.3,6.2,0.4,,,,1,2M,PM J18163+0131
I18165+4533,Gl  709,274.129547,45.557808,-0.012,0.338,,,21.86,19.4,10.31,T,7.26,6.66,6.45,MDM,5096.6,0.688,0.834,0.741,0.988,0.944,1.013,0.47,M0.5,1.12,4.5,3650,P,M,0.059,0.001,0.053,0.014,0.057,0.017,-25.9,,6.9,0.38,,,,1,2M,PM J18165+4533
I18180+3846E,GJ 4048 A,274.517609,38.775707,-0.355,-1.035,,,,,11.29,P,8.04,7.49,7.22,MDM,4955.96,0.444,0.724,0.489,0.946,0.774,0.841,3.12,M3.0,0.97,5.0,3400,P,,0.0884,0.0177,0.071,0.028,0.045,0.013,53.4,,1.5,0.49,,,,1,2M,PM J18180+3846E
I18189+6611,GJ 4053,274.738495,66.192604,0.443,-0.445,0.0561,-0.49,,20.77,13.67,P,8.74,8.26,7.95,MDM,5690.9,0.349,0.62,0.337,0.915,0.651,0.728,4.74,M4.5,0.97,5.0,3130,,,0.1375,0.0275,0.088,0.035,0.081,0.024,13.2,,-14.5,-2.82,Y,,Y,1,2M,PM J18189+6611
I18195+4201,,274.894043,42.027111,-0.055,-0.01,,,,,12.1,P,8.79,8.11,7.92,MDM,5095.63,0.578,0.809,0.638,0.949,0.883,0.974,1.45,M1.5,1.07,4.5,3570,,,,,0.032,0.009,0.033,0.01,2.4,,6.7,0.61,,,,0,2M,PM J18195+4201
I18221+0620,Gl  712,275.527802,6.343816,-1.136,0.095,,,,,12.77,P,8.67,8.13,7.93,UH22,5790.85,0.435,0.723,0.442,0.925,0.715,0.829,3.45,M3.5,1.05,4.5,3280,,,0.0689,0.0138,0.059,0.024,0.055,0.016,,-30.6,71.9,0.25,,,,1,2M,PM J18221+0620
I18224+6203,GJ 1227,275.612976,62.050499,-0.948,-1.236,,,,,13.6,P,8.64,8.05,7.74,MDM,5690.92,0.379,0.659,0.327,0.935,0.606,0.774,4.53,M4.5,1.06,5.0,3130,,,0.1215,0.0243,0.086,0.034,0.086,0.025,52.9,,27.1,0.62,,,,1,2M,PM J18224+6203
I18227+3757,,275.681061,37.963276,0.01,-0.395,,,,,11.67,T,8.54,7.84,7.65,UH22,5010.96,0.611,0.813,0.674,0.958,0.885,0.931,1.23,M1.0,1.06,4.5,3570,,,0.0272,0.0025,0.034,0.009,0.033,0.01,62.6,,-21.6,0.29,,,,1,2M,PM J18227+3757
I18228+0244,,275.708496,2.742044,0.027,-0.038,,,,20.2,10.42,T,7.39,6.72,6.52,UH22,5847.74,,,,,,,,G/K,,,,,,,,0.048,0.013,0.053,0.015,,-1.5,-4.1,,,,,0,2M,PM J18228+0244
I18234+2810,GJ 4055,275.868103,28.167734,-0.069,-0.181,,,,,12.32,P,8.31,7.74,7.47,UH22,5642.13,0.43,0.708,0.424,0.922,0.698,0.796,3.63,M3.5,1.05,4.5,3270,P,,,,0.074,0.029,0.062,0.018,12.4,,-0.2,0.42,,,,1,2M,PM J18234+2810
I18240+0141,GJ 4056,276.021637,1.6878,0.155,-0.237,,,,21.73,12.34,P,8.3,7.74,7.49,MDM,3974.81,0.514,0.741,0.604,0.982,0.779,0.985,2.49,M2.5,0.88,4.5,3470,P,,,,0.053,0.014,0.063,0.019,,-9.4,-21.9,0.34,,,,1,2M,PM J18240+0141
I18248+2817,,276.218964,28.289385,-0.18,0.025,,,,20.63,11.9,P,8.82,8.19,8.02,UH22,5642.14,0.589,0.814,0.599,0.951,0.856,0.916,1.59,M1.5,1.24,5.0,3610,,,0.0288,0.0041,0.033,0.009,0.028,0.008,1.0,,27.6,0.27,,,,1,2M,PM J18248+2817
I18250+2438,GJ 4057,276.269989,24.634644,-0.041,-0.447,,,,,10.85,T,7.9,7.17,6.98,MDM,6026.94,0.673,0.842,0.762,0.966,0.933,1.003,0.46,M0.5,1.01,5.0,3820,P,M,0.0458,0.0019,0.039,0.011,0.04,0.012,37.6,,-13.5,0.54,,,,1,2M,PM J18250+2438
I18251+3016W,,276.291138,30.282276,0.005,0.257,,,,,11.69,T,8.9,8.27,8.1,UH22,5642.14,,,,,,,,G/K,,,,,,0.018,0.0027,0.024,0.006,0.022,0.007,-57.9,,22.0,,,,,1,2M,PM J18251+3016W
I18255+3821,GJ 4058,276.383057,38.353622,-0.077,-0.743,,,,20.36,11.28,T,8.28,7.66,7.49,UH22,5645.14,0.666,0.846,0.775,0.97,0.937,0.957,0.41,M0.5,0.94,4.5,3600,,,0.0404,0.0018,0.033,0.009,0.034,0.01,81.1,,-17.8,0.43,,,,1,2M,PM J18255+3821
I18264+1120N,GJ 4059,276.602478,11.349278,-0.012,-0.259,,,,,13.09,P,8.92,8.37,8.13,MDM,3974.81,0.458,0.735,0.492,0.958,0.681,0.936,3.27,M3.5,1.01,5.0,3400,P,,,,0.05,0.02,0.051,0.015,,-15.8,-9.3,0.22,,,,1,2M,PM J18264+1120N
I18292+6351,,277.303711,63.853016,0.197,0.016,,,,21.51,11.91,P,8.72,8.19,7.96,MDM,4955.97,0.571,0.788,0.683,0.976,0.889,0.931,1.44,M1.5,0.88,4.5,3540,,,,,0.033,0.009,0.032,0.009,-6.9,,-24.6,0.65,,,,1,2M,PM J18292+6351
I18312+0650,,277.816895,6.836102,0.141,-0.111,,,,,10.99,T,7.58,6.97,6.74,MDM,3888.94,0.614,0.791,0.713,0.968,0.885,0.972,1.25,M1.0,0.89,4.5,3560,,,,,0.054,0.014,0.061,0.018,,-1.3,-15.4,0.52,,,,1,2M,PM J18312+0650
I18319+4041,GJ 4062,277.993286,40.686417,-0.093,0.417,,,,21.49,11.36,P,8.06,7.44,7.18,MDM,3971.79,0.453,0.714,0.501,0.951,0.709,0.949,3.3,M3.5,0.95,5.0,3400,P,,,,0.075,0.03,0.046,0.013,-38.3,,21.4,0.37,,,,1,2M,PM J18319+4041
I18328+1110E,,278.214508,11.179542,-0.064,-0.383,,,,,11.85,P,9.0,8.44,8.19,MDM,2779.9,0.656,0.825,0.764,0.955,0.928,0.996,0.62,M0.5,0.9,5.0,3820,,,,,0.024,0.007,0.022,0.007,,-57.3,-23.2,0.34,,,,1,2M,PM J18328+1110E
I18352+2418,,278.806458,24.312389,-0.117,-0.273,,,,21.6,12.16,P,8.59,7.97,7.73,MDM,3975.81,0.497,0.74,0.54,0.942,0.774,0.888,2.72,M2.5,0.99,5.0,3420,,,,,0.049,0.02,0.042,0.012,26.8,,-0.3,0.42,,,,1,2M,PM J18352+2418
I18352+4129,GJ 4064,278.824371,41.487469,0.393,-0.032,,,,21.71,11.78,P,8.45,7.93,7.73,MDM,4955.97,0.553,0.792,0.603,0.978,0.85,0.936,1.84,M2.0,1.06,4.5,3600,P,,0.057,0.0114,0.041,0.011,0.039,0.011,-3.7,,-29.8,0.53,,,,1,2M,PM J18352+4129
I18353+4544,Gl  720  A,278.826538,45.743992,0.452,0.365,0.0137,-0.7,,,9.84,T,6.88,6.26,6.08,MDM,4956.0,0.658,0.832,0.727,0.982,0.908,0.983,0.76,M1.0,1.08,4.5,3640,P,M,0.0643,0.001,0.067,0.018,0.064,0.019,-31.8,,-22.2,0.58,,,,1,2M,PM J18353+4544
I18354+4545,Gl  720  B,278.863708,45.761364,0.461,0.366,,,,,13.58,P,8.89,8.31,8.07,UH22,5673.12,0.422,0.703,0.421,0.92,0.694,0.79,3.71,M3.5,1.03,5.0,3200,P,,0.0651,0.013,0.058,0.023,0.068,0.02,-31.6,,-22.5,0.53,,,,1,2M,PM J18354+4545
I18358+8005,GJ 4068,278.966034,80.09433,0.122,0.207,0.113,-0.38,21.59,20.33,13.28,P,8.99,8.42,8.16,MDM,5688.92,0.395,0.652,0.407,0.929,0.709,0.784,4.08,M4.0,0.95,5.0,3280,P,,,,0.062,0.025,0.053,0.015,-19.4,,-9.4,-2.32,Y,,Y,1,2M,PM J18358+8005
I18362+5644,,279.052826,56.745625,0.023,-0.41,,,,19.95,11.09,T,8.35,7.67,7.53,MDM,5690.93,0.748,0.857,0.815,0.992,0.974,0.972,-0.15,M0.0,1.07,5.0,3860,,,,,0.028,0.008,0.028,0.008,66.3,,-17.1,0.67,,,,1,2M,PM J18362+5644
I18363+1336S,GJ 4065,279.080139,13.607338,0.189,0.295,0.111,-0.42,,,12.42,P,8.19,7.61,7.37,MDM,3974.83,0.418,0.676,0.449,0.94,0.65,0.892,3.91,M4.0,0.94,5.0,3280,P,M,,,0.085,0.034,0.074,0.022,,16.6,-2.7,-0.35,,,,1,2M,PM J18363+1336S
I18363+5523,,279.09964,55.391991,0.185,-0.041,,,,,11.72,P,8.94,8.34,8.12,MDM,5095.63,,,,,,,,G/K,,,,,,,,,,,,,,,,,,,1,2M,PM J18363+5523
I18376+0642,,279.408417,6.702833,-0.102,-0.226,,,,,11.93,P,8.91,8.3,8.06,UH22,5038.9,0.724,0.868,0.831,0.975,0.953,0.998,-0.07,M0.0,0.94,4.5,3740,,,,,0.022,0.006,0.026,0.008,,-41.8,-2.2,0.44,,,,1,2M,PM J18376+0642
