PM,CNS3,RAJ2000,DEJ2000,pmRA,pmDE,Xray,HR1,FUV,NUV,Vmag,n_Vmag,Jmag,Hmag,Kmag,Obs,Date,CaH2,CaH3,TiO5,VO1,TiO6,VO2,Mst,SpT,zeta,logg,Teff,P,M,plx,e_plx,plx2,e_plx2,plx3,e_plx3,Uvel,Vvel,Wvel,EWHa,H,X,U,LSPM,2M,SimbadName
I11376+5842,GJ 3676,174.412231,58.711838,-0.315,-0.27,,,,,12.6,P,8.98,8.36,8.1,MDM,3765.0,0.505,0.754,0.559,0.922,0.78,0.892,2.56,M2.5,0.99,5.0,3520,P,,,,0.039,0.016,0.036,0.011,-28.1,-46.1,,0.62,,,,1,2M,PM J11376+5842
I11382+8148,GJ 3675,174.572556,81.808777,0.438,0.005,,,,20.68,12.22,T,8.71,8.1,7.87,MDM,3765.0,0.664,0.813,0.786,0.965,0.909,1.061,0.7,M0.5,0.81,4.5,3700,,,,,0.028,0.008,0.038,0.011,64.0,,19.8,0.15,,,,1,2M,PM J11382+8148
I11383+0313,,174.599762,3.231715,-0.648,-0.219,,,,20.95,11.66,T,8.77,8.17,8.0,UH22,5641.92,0.746,0.89,0.823,0.98,0.948,0.97,-0.21,M0.0,1.16,4.5,3770,,,,,0.023,0.006,0.025,0.007,-94.3,-87.3,,0.56,,,,1,2M,PM J11383+0313
I11398+5941,,174.974792,59.693985,-0.147,-0.253,,,,19.96,11.59,T,8.84,8.21,8.03,MDM,4951.7,,,,,,,,G/K,,,,,,0.0254,0.0021,,,,,,,,,,,,1,2M,PM J11398+5941
I11404+7704,,175.123535,77.071869,-0.546,0.005,,,,20.6,12.33,T,8.38,7.72,7.48,MDM,3765.01,0.539,0.767,0.609,0.94,0.809,0.947,2.16,M2.0,0.96,4.5,3490,,,,,0.046,0.013,0.058,0.017,-48.8,-22.0,,0.62,,,Y,1,2M,PM J11404+7704
I11417+4245,GJ 1148,175.436081,42.751984,-0.58,-0.09,,,,22.07,11.86,T,7.61,7.07,6.82,UH22,5905.13,0.419,0.717,0.39,0.906,0.644,0.756,3.84,M4.0,1.11,4.5,3170,,M,0.0901,0.0027,0.109,0.043,0.097,0.029,-25.1,-16.6,,0.43,,,,1,2M,PM J11417+4245
I11418+5849,,175.451996,58.827477,-0.415,-0.103,,,,,11.69,T,8.91,8.33,8.13,MDM,4951.71,,,,,,,,G/K,,,,,,0.0285,0.0025,,,,,,,,,,,,1,2M,PM J11418+5849
I11420+1446,GJ 3681,175.508423,14.777211,-0.259,0.199,,,,,12.54,P,8.86,8.21,7.96,MDM,3766.99,0.466,0.734,0.498,0.92,0.754,0.866,3.03,M3.0,1.01,5.0,3400,P,,,,0.048,0.019,0.04,0.012,-38.1,7.8,,0.32,,,,1,2M,PM J11420+1446
I11421+2642,Gl  436,175.546097,26.706682,0.896,-0.814,,,,20.64,10.67,T,6.9,6.32,6.07,UH22,5905.14,0.481,0.752,0.516,0.938,0.775,0.862,2.77,M3.0,1.03,5.0,3400,P,M,0.0986,0.0023,0.109,0.043,0.103,0.03,54.4,-17.9,,0.46,,,,1,2M,PM J11421+2642
I11423+2301,,175.576599,23.026855,-0.2,0.045,,,,20.28,11.58,T,8.65,8.0,7.8,UH22,5341.77,0.674,0.85,0.782,0.97,0.932,0.953,0.38,M0.5,0.95,4.5,3600,,,0.031,0.0028,0.027,0.007,0.028,0.008,-29.8,-6.2,,0.47,,,,1,2M,PM J11423+2301
I11476+0015,GJ 3685 A,176.9198,0.255529,-0.302,-0.092,0.114,-0.23,14.27,17.3,13.28,P,8.99,8.4,8.1,UH22,5699.83,0.399,0.658,0.405,0.908,0.642,0.77,4.2,M4.0,0.96,4.5,3100,,,,,0.065,0.026,0.053,0.015,-19.8,-17.6,,-3.43,Y,,Y,1,2M,PM J11476+0015
I11476+7841,Gl  445,176.921875,78.691093,0.743,0.48,,,,,10.8,T,6.72,6.22,5.95,MDM,5690.71,0.416,0.699,0.414,0.938,0.698,0.794,3.76,M4.0,1.03,5.0,3300,,,0.1869,0.0017,0.16,0.064,0.133,0.039,15.2,,-4.5,0.53,,,,1,2M,PM J11476+7841
I11477+0048,Gl  447,176.934906,0.804732,0.606,-1.219,0.0796,-0.33,23.1,21.83,11.12,T,6.51,5.95,5.65,MDM,4954.67,0.381,0.678,0.36,0.916,0.622,0.781,4.32,M4.5,1.04,5.0,3130,,,0.298,0.0023,0.212,0.085,0.194,0.057,17.8,-10.6,,0.63,,,,1,2M,PM J11477+0048
I11478+0459,,176.954071,4.987824,-0.136,-0.096,,,,,11.4,T,8.68,8.04,7.87,UH22,5641.92,0.722,0.868,0.827,0.976,0.957,0.96,-0.08,M0.0,0.95,5.0,3800,,,0.0277,0.0034,0.025,0.007,0.024,0.007,-12.4,-22.7,,0.59,,,,1,2M,PM J11478+0459
I11496+2203,,177.418655,22.064737,-0.126,-0.044,,,,19.73,11.23,T,8.4,7.75,7.58,UH22,5667.83,0.737,0.873,0.836,0.975,0.958,0.967,-0.17,M0.0,0.97,5.0,3800,,,,,0.028,0.007,0.029,0.009,-15.5,-15.8,,0.6,,,,0,2M,PM J11496+2203
I11498+0356,,177.467804,3.943085,-0.057,-0.034,,,,20.32,12.34,T,8.74,8.11,7.93,UH22,5641.93,0.711,0.868,0.82,0.976,0.951,0.968,-0.01,M0.0,0.95,4.5,3700,,,,,0.024,0.007,0.04,0.012,-6.5,-9.9,,0.49,,,,0,2M,PM J11498+0356
I11509+4822,GJ 1151,177.74054,48.377388,-1.534,-0.953,,,,,13.76,P,8.49,7.95,7.64,MDM,5293.79,0.376,0.665,0.336,0.938,0.598,0.757,4.51,M4.5,1.06,5.0,3130,,,0.115,0.0051,0.091,0.036,0.107,0.031,-42.1,-61.4,,0.55,,,,1,2M,PM J11509+4822
I11511+3516,Gl  450,177.780624,35.27198,-0.272,0.255,0.0688,-0.19,21.3,18.9,9.76,T,6.42,5.83,5.61,MDM,4955.72,0.551,0.781,0.642,0.953,0.86,0.917,1.77,M2.0,0.93,4.5,3470,,M,0.1165,0.0012,0.104,0.028,0.1,0.029,-13.9,4.7,,0.25,,,,1,2M,PM J11511+3516
I11519+0731,,177.986725,7.52396,-0.111,-0.073,0.214,0.12,20.06,18.45,12.65,P,8.81,8.14,7.89,MDM,5183.03,0.517,0.724,0.603,0.897,0.765,0.782,2.62,M2.5,0.86,5.0,3400,,,,,0.043,0.017,0.045,0.013,-6.6,-11.3,,-1.55,Y,Y,Y,0,2M,PM J11519+0731
I11521+0357,,178.040894,3.956482,0.077,-0.116,,,,21.82,12.63,P,8.38,7.83,7.53,UH22,5641.93,0.412,0.691,0.432,0.916,0.684,0.784,3.81,M4.0,0.98,5.0,3180,,,,,0.076,0.03,0.068,0.02,8.6,-4.0,,0.39,,,,0,2M,PM J11521+0357
I11530+1855,,178.271835,18.930016,0.004,0.08,,,21.99,20.48,11.7,T,8.76,8.1,7.88,UH22,5679.85,0.668,0.838,0.778,0.971,0.937,0.981,0.44,M0.5,0.92,4.5,3590,,,0.0318,0.0046,0.026,0.007,0.026,0.008,-5.0,10.6,,0.42,,,,0,2M,PM J11530+1855
I11533+4302,,178.345825,43.049202,0.174,-0.046,,,22.69,,11.72,P,8.42,7.81,7.62,MDM,3768.01,0.624,0.812,0.72,0.949,0.907,0.963,0.99,M1.0,0.94,4.5,3560,,,,,0.034,0.009,0.039,0.011,23.3,4.7,,0.53,,,,1,2M,PM J11533+4302
I11541+0948,Gl  452.1,178.532959,9.806336,0.086,-0.795,,,,,11.59,T,8.7,8.19,7.87,MDM,4954.68,0.403,0.673,0.434,0.939,0.723,0.814,3.83,M4.0,0.94,5.0,3270,,,0.0961,0.0192,0.066,0.026,0.026,0.008,22.6,-30.4,,-0.48,,,,1,2M,PM J11541+0948
I11551+0058,Wo  9381,178.780151,0.973756,-0.737,0.033,,,22.48,20.33,11.47,T,8.17,7.56,7.34,UH22,5641.94,0.571,0.81,0.615,0.955,0.837,0.895,1.7,M1.5,1.13,4.5,3700,P,,0.038,0.0029,0.046,0.012,0.043,0.013,-82.4,-36.8,,0.39,,,,1,2M,PM J11551+0058
I11575+1149,GJ 3695,179.386765,11.827707,-0.683,0.239,,,,21.25,11.81,T,8.43,7.79,7.57,UH22,5679.86,0.55,0.785,0.598,0.951,0.843,0.932,1.92,M2.0,1.05,5.0,3570,P,,0.0413,0.0028,0.043,0.012,0.04,0.012,-81.8,-11.6,,0.48,,,,1,2M,PM J11575+1149
I11585+4626,,179.641739,46.441372,-0.126,-0.014,,,,20.06,11.51,T,8.57,7.91,7.78,UH22,5643.03,0.79,0.898,0.862,0.982,0.957,0.973,-0.49,K7.5,1.12,4.5,4030,,,,,0.024,0.007,0.029,0.008,-20.5,-13.3,,0.49,,,,0,2M,PM J11585+4626
I11585+5933E,,179.646194,59.556149,-0.738,-0.007,,,,20.0,11.03,T,8.3,7.64,7.49,UH22,5972.06,0.735,0.883,0.785,0.976,0.931,0.966,0.04,M0.0,1.31,4.5,3730,,,0.025,0.0035,0.03,0.008,0.028,0.008,-121.9,-62.9,,0.47,,,,1,2M,PM J11585+5933E
I11585+5933W,,179.645737,59.556202,-0.706,-0.001,,,,20.0,11.86,T,8.3,7.64,7.49,UH22,5955.03,0.731,0.889,0.784,0.98,0.929,0.967,0.03,M0.0,1.32,4.5,3730,,,0.025,0.0035,0.03,0.008,0.048,0.014,-116.9,-59.3,,0.41,,,,1,2M,PM J11585+5933W
I11589+4239,GJ 3697,179.747726,42.66106,-0.321,0.07,,,,21.82,12.09,P,8.64,8.05,7.82,MDM,3768.01,0.55,0.775,0.628,0.93,0.842,0.914,1.91,M2.0,0.96,4.5,3480,P,,,,0.039,0.01,0.038,0.011,-37.7,-9.8,,0.69,,,,1,2M,PM J11589+4239
I12054+6932,GJ 3704,181.373672,69.539635,-0.442,-0.034,,,,,13.37,P,8.74,8.16,7.89,MDM,5690.71,0.418,0.711,0.387,0.943,0.653,0.797,3.86,M4.0,1.1,5.0,3280,P,,0.0602,0.012,0.065,0.026,0.07,0.021,-29.7,-17.8,,0.41,,,,1,2M,PM J12054+6932
I12057+5355,,181.443863,53.93055,-0.111,-0.079,,,,20.91,12.01,T,8.64,8.06,7.84,MDM,5689.71,0.642,0.813,0.737,0.973,0.945,0.933,0.71,M0.5,0.93,4.5,3630,,,,,0.029,0.008,0.037,0.011,-11.2,-18.8,,0.42,,,,0,2M,PM J12057+5355
I12057+7825,,181.446274,78.430969,-0.199,0.017,,,,21.38,12.34,P,8.57,7.96,7.74,MDM,3763.98,0.52,0.765,0.574,0.926,0.814,0.91,2.29,M2.5,1.01,5.0,3450,,,,,0.044,0.012,0.048,0.014,-18.9,,-5.2,0.41,,,,1,2M,PM J12057+7825
I12099+0527,Wo 9392 AB,182.494995,5.454479,0.03,-0.106,,,22.0,,11.39,T,8.53,7.91,7.71,UH22,5679.86,0.745,0.875,0.849,0.981,0.967,1.009,-0.28,K7.5,0.93,4.5,3850,,,0.0234,0.0027,0.026,0.007,0.028,0.008,15.8,-14.1,,0.5,,,,0,2M,PM J12099+0527
I12109+4103,Wo 9393,182.737045,41.057747,0.008,0.232,,,,19.92,10.61,T,7.85,7.29,7.09,UH22,5643.05,0.735,0.89,0.808,0.978,0.932,0.974,-0.06,M0.0,1.2,4.5,3720,P,,0.0463,0.0018,0.036,0.01,0.036,0.011,-9.5,21.1,,0.46,,,,1,2M,PM J12109+4103
I12122+7125,,183.063202,71.423195,-0.362,0.185,,,,,13.0,P,8.81,8.21,8.0,MDM,2747.75,0.463,0.739,0.462,0.923,0.71,0.866,3.22,M3.0,1.09,5.0,3400,,M,,,0.052,0.021,0.054,0.016,-31.6,-3.9,,0.62,,,,1,2M,PM J12122+7125
I12123+5429S,Gl  458  A,183.086853,54.485741,0.232,0.091,,,,,9.71,T,6.88,6.24,6.06,UH22,5644.92,0.698,0.859,0.781,0.977,0.942,0.964,0.21,M0.0,1.07,4.5,3700,P,M,0.0644,0.0014,0.06,0.016,0.059,0.017,12.4,13.5,,0.52,,,,1,2M,PM J12123+5429S
I12124+3940,GJ 3714,183.12265,39.674381,0.162,-0.16,,,,20.12,11.38,T,8.12,7.48,7.28,UH22,5643.05,0.586,0.802,0.66,0.96,0.865,0.924,1.48,M1.5,1.01,5.0,3580,P,,0.0328,0.0036,0.044,0.012,0.043,0.013,30.5,-9.2,,0.48,,,,1,2M,PM J12124+3940
I12133+1641,Wo  9397,183.33522,16.694376,-0.501,-0.454,,,,,11.93,P,8.87,8.2,8.03,UH22,5342.82,0.613,0.832,0.677,0.963,0.877,0.929,1.15,M1.0,1.12,4.5,3550,P,,0.0357,0.0035,0.029,0.008,0.027,0.008,-28.0,-82.7,,0.4,,,,1,2M,PM J12133+1641
I12142+0037,GJ 1154,183.568924,0.623978,-0.943,-0.272,0.0983,-0.23,20.92,19.59,13.87,P,8.46,7.86,7.54,MDM,4108.02,0.351,0.645,0.312,0.936,0.541,0.72,4.89,M5.0,1.04,5.0,3040,P,,0.1194,0.0239,0.106,0.042,0.115,0.034,-27.3,-25.9,,-3.88,Y,,Y,1,2M,PM J12142+0037
I12144+2435,GJ 3717,183.608505,24.590622,0.014,-0.371,,,,21.16,12.16,T,8.75,8.17,7.92,UH22,5667.85,0.538,0.781,0.587,0.952,0.837,0.892,2.03,M2.0,1.05,4.5,3450,P,,,,0.038,0.01,0.036,0.01,24.0,-39.6,,0.47,,,,1,2M,PM J12144+2435
I12151+4843,Gl  458.2,183.786896,48.732628,-0.24,-0.031,,,21.87,19.03,10.55,T,7.61,6.97,6.77,MDM,4952.76,0.674,0.841,0.771,0.972,0.928,0.934,0.47,M0.5,0.97,4.5,3640,P,,0.0402,0.0019,0.045,0.012,0.045,0.013,-23.1,-16.6,,0.39,,,,1,2M,PM J12151+4843
I12154+3911,GJ 3718,183.868256,39.187412,-0.347,0.047,,,,20.63,12.0,T,8.61,7.94,7.77,MDM,4108.94,0.572,0.775,0.64,1.0,0.861,0.924,1.74,M1.5,0.97,4.5,3550,P,,,,0.038,0.01,0.038,0.011,-40.7,-15.7,,0.54,,,,1,2M,PM J12154+3911
I12156+5239,,183.914047,52.65247,0.087,0.01,0.273,-0.35,20.3,18.78,12.55,P,8.59,7.99,7.76,MDM,5293.79,0.414,0.671,0.451,0.933,0.723,0.778,3.76,M4.0,0.92,5.0,3270,,,,,0.068,0.027,0.053,0.016,6.4,4.5,,-4.43,Y,,Y,0,2M,PM J12156+5239
I12159+0538N,Wo 9400 B,183.993164,5.640362,-0.32,-0.066,,,22.38,17.76,10.59,T,7.26,6.65,6.47,UH22,5679.87,0.85,0.916,0.932,0.985,0.989,1.019,-1.06,K7.0,,5.0,4200,,,0.0345,0.0034,0.041,0.011,0.067,0.02,-33.7,-28.2,,0.71,,,Y,1,2M,PM J12159+0538N
I12168+2451E,,184.219284,24.85146,0.01,0.054,,,,21.87,12.77,P,8.99,8.39,8.16,UH22,5966.98,0.568,0.789,0.658,0.954,0.884,0.927,1.54,M1.5,0.94,4.5,3510,,,,,0.03,0.008,0.04,0.012,-2.8,8.2,,0.42,,,,0,2M,PM J12168+2451E
I12178+4637,Wo  9403,184.451721,46.622452,-0.424,-0.11,,,,20.31,11.62,T,8.57,7.89,7.7,UH22,5643.03,0.676,0.846,0.756,0.97,0.93,0.952,0.46,M0.5,1.06,4.5,3640,P,,0.0258,0.0027,0.029,0.008,0.031,0.009,-59.0,-54.6,,0.6,,,,1,2M,PM J12178+4637
I12189+1107,GJ 1156,184.747528,11.126064,-1.253,0.209,,,20.83,19.87,14.44,P,8.52,7.88,7.57,MDM,4108.03,0.348,0.639,0.285,0.949,0.526,0.786,5.02,M5.0,1.07,5.0,3110,,,0.1529,0.0306,0.108,0.043,0.139,0.041,-36.9,-13.5,,-3.53,Y,,Y,1,2M,PM J12189+1107
I12190+3150,,184.774826,31.845371,-0.3,0.02,,,,20.65,12.6,P,8.29,7.65,7.4,MDM,2745.76,0.464,0.722,0.468,0.919,0.716,0.874,3.28,M3.5,1.05,5.0,3400,,M,,,0.067,0.027,0.073,0.022,-17.4,-8.3,,0.13,,,Y,1,2M,PM J12190+3150
I12194+2822,Gl  459.3,184.850479,28.382355,-0.65,0.076,,,,19.34,10.62,T,7.67,6.97,6.8,UH22,5644.97,0.659,0.839,0.74,0.965,0.924,0.955,0.61,M0.5,1.05,4.5,3600,P,,0.0394,0.0019,0.045,0.012,0.044,0.013,-72.1,-29.9,,0.5,,,,1,2M,PM J12194+2822
I12198+5246,,184.950302,52.779182,-0.17,-0.123,0.0502,0.06,21.47,19.28,11.12,T,8.28,7.63,7.46,UH22,5639.87,0.709,0.858,0.811,0.976,0.946,0.966,0.1,M0.0,0.95,4.5,3700,,,0.0358,0.0022,0.031,0.008,0.031,0.009,-13.0,-24.2,,0.1,,,,1,2M,PM J12198+5246
I12204+0035,Gl  461  AB,185.106277,0.583706,0.085,-0.01,,,21.52,18.62,10.26,T,6.86,6.22,6.01,UH22,5641.95,0.63,0.819,0.721,0.963,0.9,0.928,0.96,M1.0,0.97,4.5,3540,P,,,,0.07,0.019,0.084,0.025,5.3,2.3,,0.39,,,,0,2M,PM J12204+0035
I12217+6816,,185.448181,68.267792,-0.376,0.207,,,,22.31,12.8,P,8.83,8.25,8.03,MDM,2747.76,0.485,0.742,0.509,0.938,0.769,0.894,2.84,M3.0,1.03,5.0,3520,,M,,,0.046,0.018,0.047,0.014,-38.8,-4.0,,0.42,,,,1,2M,PM J12217+6816
I12223+2510,GJ 3721,185.588745,25.169996,-0.693,-0.201,,,,,11.35,T,8.41,7.83,7.6,UH22,5667.87,0.694,0.872,0.759,0.976,0.927,0.951,0.28,M0.5,1.21,4.5,3600,P,,0.0334,0.0025,0.03,0.008,0.031,0.009,-70.8,-73.0,,0.38,,,,1,2M,PM J12223+2510
I12225+2736,,185.641953,27.604692,-0.146,-0.031,,,22.04,19.65,11.02,T,8.06,7.45,7.22,UH22,5667.87,0.712,0.861,0.806,0.975,0.956,0.961,0.04,M0.0,1.0,4.5,3740,,,0.0315,0.0019,0.034,0.009,0.037,0.011,-16.7,-14.8,,0.58,,,,0,2M,PM J12225+2736
I12230+6401,Gl  463,185.7509,64.030777,-0.667,0.376,,,,,11.63,T,7.94,7.34,7.12,MDM,5690.73,0.491,0.748,0.485,0.973,0.777,0.869,2.83,M3.0,1.11,5.0,3520,P,,0.0545,0.002,0.068,0.027,0.061,0.018,-61.2,-4.7,,0.4,,,,1,2M,PM J12230+6401
I12235+2754,,185.894669,27.913221,-0.138,0.12,,,,20.41,11.33,T,8.48,7.88,7.67,UH22,5644.97,0.727,0.876,0.815,0.977,0.955,0.974,-0.1,M0.0,1.07,4.5,3710,,,0.0291,0.0026,0.027,0.007,0.028,0.008,-29.1,5.9,,0.41,,,,1,2M,PM J12235+2754
I12235+6711,GJ 3722,185.888367,67.188469,0.236,-0.107,,,,20.94,11.64,T,7.6,7.09,6.81,MDM,5690.73,0.481,0.729,0.534,0.962,0.828,0.856,2.67,M2.5,0.95,5.0,3420,P,,0.0775,0.0032,0.076,0.031,0.087,0.026,14.6,2.5,,0.41,,,,1,2M,PM J12235+6711
I12238+1234,Gl  464,185.973129,12.580277,0.041,-0.168,,,21.86,19.27,10.39,T,7.48,6.86,6.63,UH22,5344.84,0.706,0.879,0.816,0.942,0.906,0.97,0.17,M0.0,0.99,4.5,3740,P,,0.0476,0.0025,0.045,0.012,0.047,0.014,12.0,-11.8,,0.82,,,,1,2M,PM J12238+1234
I12253+3743,,186.346085,37.724266,-0.055,-0.192,,,,20.71,11.9,T,8.87,8.21,8.01,UH22,5643.06,0.729,0.877,0.788,0.978,0.944,0.961,0.01,M0.0,1.23,4.5,3730,,,0.0236,0.0024,0.023,0.006,0.027,0.008,8.8,-38.7,,0.57,,,,1,2M,PM J12253+3743
I12267+3721,,186.697098,37.356297,0.036,-0.034,,,,19.74,11.61,T,8.72,8.1,7.95,UH22,5643.06,0.775,0.89,0.873,0.983,0.967,0.987,-0.5,K7.5,0.93,4.5,3870,,,,,0.023,0.006,0.026,0.008,9.9,-2.4,,0.42,,,,0,2M,PM J12267+3721
I12274+3726,,186.87262,37.442604,-0.227,0.107,,,,21.67,12.08,T,8.87,8.27,8.06,MDM,5293.8,0.575,0.792,0.646,0.96,0.851,0.91,1.66,M1.5,1.0,4.5,3580,,,0.0394,0.004,0.033,0.009,0.03,0.009,-29.7,-2.6,,0.47,,,,1,2M,PM J12274+3726
I12289+0825,Gl  469,187.240036,8.425553,-0.634,-0.258,,,,22.11,11.99,T,7.84,7.2,6.96,UH22,4885.07,0.423,0.715,0.416,0.917,0.673,0.779,3.7,M3.5,1.06,4.5,3180,P,,0.0759,0.004,0.094,0.037,0.083,0.024,-25.9,-32.9,,0.46,,,,1,2M,PM J12289+0825
I12290+4143,GJ 3729,187.262177,41.730415,-0.186,-0.214,0.146,-0.38,21.42,19.9,12.93,P,8.79,8.19,7.93,MDM,4108.95,0.402,0.661,0.416,0.946,0.713,0.774,3.97,M4.0,0.95,5.0,3270,P,,,,0.066,0.026,0.053,0.016,-5.3,-24.5,,-1.95,Y,,Y,1,2M,PM J12290+4143
I12299+3626,,187.479324,36.445057,0.142,-0.139,,,,21.18,11.91,T,8.78,8.13,7.95,MDM,4954.71,0.618,0.817,0.691,0.975,0.868,0.976,1.22,M1.0,1.04,4.5,3570,,,0.038,0.0041,0.031,0.008,0.03,0.009,23.7,-5.9,,0.48,,,,1,2M,PM J12299+3626
I12312+0848,Gl  471,187.815933,8.810676,-0.636,-0.521,,,21.69,18.49,9.74,T,6.78,6.09,5.89,MDM,4954.71,0.69,0.852,0.796,0.989,0.925,0.998,0.32,M0.5,0.94,4.5,3650,P,,0.0733,0.0013,0.064,0.017,0.067,0.02,-18.3,-48.0,,0.56,,,,1,2M,PM J12312+0848
I12325+1602,,188.148438,16.040829,-0.104,-0.042,,,21.91,19.08,11.78,T,8.94,8.29,8.11,UH22,5644.98,0.804,0.896,0.89,0.982,0.968,0.967,-0.64,K7.5,0.94,5.0,3950,,,,,0.02,0.005,0.023,0.007,-16.0,-20.9,,-0.05,,,Y,0,2M,PM J12325+1602
I12327+6815,,188.187439,68.26255,-0.1,-0.182,,,,20.02,11.37,T,8.35,7.68,7.52,MDM,5690.74,0.729,0.858,0.763,1.001,0.941,1.009,0.19,M0.0,1.28,4.5,3840,,M,,,0.03,0.008,0.034,0.01,-3.6,-27.2,,0.75,,,,1,2M,PM J12327+6815
I12332+0901,Gl  473  AB,188.322525,9.020974,-1.721,0.212,,,19.51,18.49,12.7,P,6.99,6.4,6.04,UH22,5645.0,0.312,0.605,0.28,0.86,0.471,0.613,5.46,M5.5,1.0,4.5,2850,,,0.2279,0.0456,0.258,0.103,0.258,0.076,-32.9,-14.8,,-4.51,Y,,Y,1,2M,PM J12332+0901
I12350+0949,Gl  476,188.753006,9.828533,-0.449,-0.319,,,23.71,20.91,11.4,T,7.99,7.37,7.15,MDM,4954.71,0.513,0.774,0.536,0.983,0.802,0.946,2.4,M2.5,1.1,5.0,3600,P,,0.0547,0.003,0.059,0.016,0.051,0.015,-19.2,-42.4,,0.52,,,,1,2M,PM J12350+0949
I12355+4144,,188.894943,41.736633,-0.311,0.15,,,,,11.62,P,8.88,8.31,8.09,UH22,5643.07,0.741,0.875,0.86,0.979,0.963,0.976,-0.28,K7.5,0.84,4.5,3750,,,,,0.022,0.006,0.022,0.006,-73.8,-7.6,,0.54,,,,1,2M,PM J12355+4144
I12388+1141,Gl  480,189.718674,11.696199,-1.156,-0.245,,,,20.55,11.49,T,7.58,6.94,6.69,MDM,4954.72,0.456,0.74,0.451,0.943,0.708,0.883,3.27,M3.5,1.1,5.0,3450,,,0.0696,0.0028,0.092,0.037,0.082,0.024,-58.5,-54.7,,0.6,,,,1,2M,PM J12388+1141
I12390+4702,GJ 3738,189.769577,47.039742,0.374,-0.102,0.103,-0.33,22.16,19.76,12.07,P,8.65,7.99,7.79,UH22,5639.87,0.496,0.731,0.572,0.94,0.804,0.899,2.6,M2.5,0.9,5.0,3500,P,,0.0459,0.0045,0.046,0.019,0.037,0.011,37.9,11.6,,-0.73,,,Y,1,2M,PM J12390+4702
I12416+4814N,GJ 3741 A,190.407822,48.240253,0.223,-0.142,,,22.45,20.55,11.76,P,8.38,7.8,7.57,MDM,3887.73,0.593,0.803,0.645,0.948,0.881,0.989,1.43,M1.5,1.08,4.5,3700,P,,,,0.039,0.01,0.041,0.012,31.5,0.5,,0.59,,,,1,2M,PM J12416+4814N
I12428+4153,,190.70787,41.896423,-0.531,0.042,0.203,-0.37,20.86,19.28,12.38,P,8.12,7.5,7.24,MDM,5293.82,0.415,0.69,0.397,0.936,0.655,0.809,3.96,M4.0,1.04,5.0,3270,,,0.0942,0.0188,0.089,0.036,0.077,0.023,-23.7,-12.4,,-2.26,Y,,Y,1,2M,PM J12428+4153
I12436+2506,GJ 1163,190.900238,25.106091,-0.37,-0.008,,,,22.68,13.2,P,8.97,8.4,8.13,MDM,4108.96,0.444,0.705,0.478,0.955,0.747,0.769,3.33,M3.5,0.96,5.0,3280,P,,,,0.05,0.02,0.051,0.015,-28.6,-18.7,,-0.08,,,,1,2M,PM J12436+2506
I12470+4637,GJ 3748,191.75412,46.62587,-0.763,-0.294,,,,21.55,11.96,P,8.1,7.47,7.22,UH22,5639.88,0.492,0.753,0.516,0.943,0.775,0.868,2.72,M2.5,1.05,4.5,3500,P,,0.0478,0.0024,0.062,0.025,0.062,0.018,-49.3,-63.9,,0.52,,,,1,2M,PM J12470+4637
I12479+0945,Gl  486,191.986069,9.751461,-1.008,-0.461,,,,,11.39,T,7.2,6.67,6.36,MDM,4954.74,0.42,0.714,0.411,0.948,0.675,0.827,3.73,M3.5,1.06,5.0,3290,,,0.1195,0.0027,0.127,0.051,0.113,0.033,-24.3,-36.2,,0.61,,,,1,2M,PM J12479+0945
I12485+4933,,192.143768,49.565018,0.108,-0.012,0.293,-0.09,20.73,18.96,12.75,P,8.68,8.02,7.78,MDM,5292.82,0.445,0.695,0.464,0.956,0.719,0.838,3.49,M3.5,0.98,5.0,3370,,,,,0.059,0.024,0.054,0.016,8.5,4.3,,-4.73,Y,Y,Y,0,2M,PM J12485+4933
I12490+6606,Gl  487,192.261627,66.110199,-0.437,-0.107,0.227,-0.21,21.57,19.23,10.94,T,6.88,6.3,6.07,MDM,4952.77,0.429,0.701,0.46,0.921,0.739,0.816,3.48,M3.5,0.97,5.0,3380,,,0.0979,0.0018,0.136,0.054,0.123,0.036,-15.7,-14.8,,-0.94,Y,,Y,1,2M,PM J12490+6606
I12497+1612,,192.4263,16.209822,-0.041,-0.243,,,,20.24,11.74,T,8.8,8.16,8.02,UH22,5342.84,0.814,0.905,0.884,0.986,0.956,0.958,-0.63,K7.5,1.07,4.5,4030,,,,,0.021,0.006,0.026,0.008,21.1,-49.5,,0.56,,,,1,2M,PM J12497+1612
I12505+4022E,,192.637222,40.370083,-0.055,0.241,,,,20.04,11.56,T,8.51,7.83,7.63,UH22,5643.08,0.67,0.843,0.756,0.973,0.933,0.965,0.48,M0.5,1.03,4.5,3600,,,,,0.03,0.008,0.032,0.009,-27.6,26.7,,0.29,,,,1,2M,PM J12505+4022E
I12521+2244,,193.040497,22.736876,-0.268,0.078,,,,20.54,11.59,T,8.6,7.98,7.78,UH22,4885.08,0.715,0.863,0.813,0.978,0.954,0.966,0.01,M0.0,0.98,4.5,3700,,M,,,0.026,0.007,0.029,0.009,-48.6,-14.7,,0.57,,,,1,2M,PM J12521+2244
