recno,ori,Name,CNS3,RAJ2000,DEJ2000,Fbol,e_Fbol,Teff,e_Teff,R,e_R,M,e_M,[Fe/H],e_[Fe/H],SpT,SpTnum,Bmag,e_Bmag,Vmag,e_Vmag,Rmag,e_Rmag,Imag,e_Imag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,Fbol0,e_Fbol0,Teff0,e_Teff0,R0,e_R0,M0,e_M0,Age0,e_Age0,chi2,SimbadName
161,0,LSPM J2106+3844S,Gl 820B,316.73013,38.74202,22.25,0.19,4021,74,0.602,0.023,0.641,0.064,-0.22,0.08,K7.3,-1.0,7.445,0.02,6.066,0.016,5.219,0.012,4.434,0.02,6.84,0.02,5.508,0.011,4.981,0.012,4.689,0.013,3.533,0.017,2.939,0.017,2.777,0.02,5.705,0.014,6.458,0.014,4.608,0.014,22.25,0.3,4126,36,0.574,0.01,0.6,0.014,9.43,0.52,3.81,LSPM J2106+3844S
127,0,LSPM J1725+0206,Gl 673,261.43847,2.11142,5.927,0.045,4124,60,0.649,0.02,0.706,0.071,0.19,0.08,K7.4,-1.0,8.906,0.02,7.51,0.016,6.68,0.012,5.913,0.02,8.306,0.02,6.956,0.011,6.456,0.012,6.158,0.013,4.961,0.017,4.315,0.017,4.183,0.02,7.167,0.014,7.907,0.014,6.082,0.014,5.927,0.063,4170,36,0.636,0.01,0.678,0.014,9.46,0.49,1.139,LSPM J1725+0206
173,0,PM I23099+1425W,,347.47873,14.42639,0.5017,0.0052,4013,62,0.643,0.022,0.68,0.068,-0.05,0.08,K7.4,-1.0,11.623,0.02,10.239,0.016,9.374,0.013,8.588,0.02,11.001,0.021,9.664,0.011,9.134,0.012,8.826,0.013,7.653,0.017,7.019,0.017,6.845,0.02,9.861,0.014,10.624,0.014,8.756,0.014,0.5017,0.008,4148,43,0.602,0.012,0.637,0.016,9.45,0.5,8.521,LSPM J2309+1425
77,0,PM I10113+4927,Gl 380,152.84254,49.45431,14.95,0.12,4131,60,0.651,0.019,0.707,0.071,0.24,0.08,K7.6,0.0,7.939,0.02,6.538,0.015,5.684,0.012,4.883,0.02,7.325,0.02,5.975,0.011,5.436,0.013,5.123,0.013,3.981,0.017,3.325,0.017,3.187,0.02,6.167,0.014,6.932,0.014,5.059,0.014,14.95,0.17,4162,33,0.642,0.01,0.687,0.013,9.43,0.49,0.631,Gl 380
9,0,PM I01186-0052S,Gl 56.3 B,19.6675,-0.87432,0.3579,0.0042,3935,64,0.604,0.026,0.645,0.064,0.01,0.08,K7.7,0.0,12.065,0.021,10.699,0.016,9.8,0.013,8.942,0.02,11.455,0.021,10.11,0.011,9.51,0.013,9.16,0.013,8.032,0.017,7.385,0.017,7.156,0.02,10.271,0.014,11.076,0.014,9.126,0.014,0.3579,0.0065,4012,51,0.579,0.015,0.611,0.018,9.53,0.53,2.593,Gl 56.3 B
37,0,PM I04290+2155,Gl 169,67.25041,21.9225,3.028,0.032,4124,62,0.687,0.023,0.744,0.074,0.39,0.08,K7.7,0.0,9.68,0.02,8.335,0.016,7.462,0.013,6.631,0.02,9.07,0.02,7.762,0.011,7.187,0.012,6.871,0.013,5.698,0.017,5.044,0.017,4.853,0.02,7.934,0.014,8.711,0.014,6.812,0.014,3.028,0.057,4197,40,0.661,0.011,0.711,0.014,9.46,0.49,2.899,Gl 169
38,0,PM I04376+5253,Gl 172,69.42048,52.89368,2.48,0.021,3929,60,0.608,0.02,0.651,0.065,-0.11,0.08,K7.7,0.0,10.028,0.02,8.627,0.016,7.73,0.012,6.881,0.02,9.395,0.02,8.037,0.011,7.444,0.012,7.119,0.013,5.908,0.017,5.214,0.017,5.031,0.02,8.207,0.014,9.01,0.014,7.066,0.014,2.48,0.034,4054,38,0.571,0.011,0.602,0.016,9.45,0.51,7.993,Gl 172
105,0,PM I13450+1747,Gl 525,206.2711,17.78569,0.86,0.011,3828,60,0.494,0.017,0.526,0.053,-0.54,0.08,K7.7,0.0,11.194,0.02,9.81,0.016,8.902,0.012,8.026,0.02,10.586,0.021,9.216,0.011,8.603,0.013,8.226,0.013,7.02,0.017,6.426,0.017,6.209,0.02,9.369,0.014,10.189,0.014,8.208,0.014,0.86,0.02,3896,37,0.476,0.015,0.5,0.014,9.45,0.53,4.02,Gl 525
71,0,PM I09143+5241,Gl 338A,138.595,52.68639,6.087,0.057,3920,60,0.55,0.026,0.607,0.061,-0.01,0.08,K7.8,0.0,9.054,0.02,7.645,0.016,6.756,0.012,5.896,0.02,8.419,0.02,7.066,0.011,6.46,0.013,6.13,0.013,4.928,0.017,4.253,0.017,4.032,0.02,7.228,0.014,8.035,0.014,6.083,0.014,6.087,0.085,3930,52,0.548,0.018,0.58,0.019,9.41,0.55,0.155,Gl 338A
45,0,PM I05365+1119,Gl 208,84.12914,11.32787,2.04,0.02,3966,60,0.601,0.02,0.646,0.065,0.05,0.08,K7.9,0.0,10.264,0.02,8.865,0.016,7.962,0.012,7.087,0.02,9.632,0.021,8.276,0.011,7.656,0.012,7.309,0.013,6.103,0.017,5.423,0.017,5.285,0.02,8.43,0.014,9.248,0.014,7.275,0.014,2.04,0.029,4020,41,0.585,0.012,0.62,0.015,9.43,0.52,1.536,Gl 208
100,0,PM I12507-0046,Gl 488,192.68153,-0.76808,2.721,0.021,3989,60,0.646,0.02,0.698,0.07,0.24,0.08,K7.9,0.0,9.912,0.02,8.494,0.016,7.614,0.012,6.785,0.02,9.277,0.02,7.909,0.011,7.347,0.013,7.015,0.013,5.796,0.017,5.13,0.017,4.908,0.02,8.094,0.014,8.881,0.014,6.965,0.014,2.721,0.031,4067,36,0.622,0.011,0.663,0.013,9.42,0.51,3.132,Gl 488
119,0,PM I16542+1154,Gl 642,253.5502,11.91464,0.3703,0.0033,3834,61,0.475,0.026,0.503,0.05,-0.48,0.08,M0.0,0.0,12.196,0.021,10.755,0.016,9.834,0.013,8.911,0.02,11.555,0.021,10.165,0.011,9.499,0.013,9.107,0.013,7.914,0.017,7.327,0.017,7.157,0.02,10.293,0.014,11.15,0.014,9.105,0.014,0.3703,0.0065,3868,53,0.464,0.02,0.488,0.018,9.4,0.53,0.903,Gl 642
15,0,PM I01528-2226,Gl 79,28.20476,-22.43486,2.117,0.02,3900,60,0.62,0.021,0.654,0.065,0.14,0.08,M0.2,0.0,10.33,0.02,8.929,0.016,7.976,0.012,7.015,0.02,9.697,0.02,8.318,0.011,7.611,0.013,7.218,0.013,6.055,0.017,5.415,0.017,5.202,0.02,8.426,0.014,9.306,0.014,7.22,0.014,2.117,0.03,3987,39,0.593,0.012,0.629,0.015,9.49,0.5,3.9,Gl 79
55,0,PM I06371+1733,Gl 239,99.29508,17.56476,1.135,0.014,3801,60,0.423,0.015,0.471,0.047,-0.34,0.08,M0.2,0.0,11.074,0.02,9.611,0.016,8.688,0.012,7.745,0.02,10.41,0.02,9.02,0.011,8.339,0.012,7.938,0.013,6.699,0.017,6.078,0.017,5.815,0.02,9.141,0.014,10.01,0.014,7.945,0.014,1.135,0.022,3758,37,0.434,0.011,0.461,0.012,9.39,0.57,1.098,Gl 239
169,0,PM I22503-0705,Gl 875,342.58096,-7.09012,0.8949,0.0081,3740,61,0.563,0.024,0.578,0.058,0.02,0.08,M0.2,0.0,11.311,0.02,9.866,0.016,8.931,0.012,7.989,0.02,10.66,0.02,9.263,0.011,8.58,0.012,8.181,0.013,6.958,0.017,6.343,0.017,6.102,0.02,9.386,0.014,10.257,0.014,8.187,0.014,0.895,0.012,3836,46,0.529,0.015,0.562,0.016,9.44,0.53,4.737,Gl 875
65,0,PM I07393+0211,Gl 281,114.84602,2.1837,1.0739,0.0094,3771,60,0.626,0.025,0.633,0.063,0.12,0.08,M0.3,0.5,11.046,0.02,9.638,0.016,8.718,0.012,7.795,0.02,10.414,0.02,9.045,0.011,8.377,0.013,7.999,0.013,6.789,0.017,6.11,0.017,5.911,0.02,9.174,0.014,10.025,0.014,7.991,0.014,1.074,0.014,3922,46,0.574,0.013,0.608,0.016,9.48,0.5,10.95,Gl 281
98,0,PM I12312+0848,Gl 471,187.81593,8.81068,1.0428,0.0089,3726,61,0.591,0.022,0.603,0.06,-0.04,0.08,M0.3,0.5,11.155,0.02,9.704,0.016,8.771,0.012,7.824,0.02,10.509,0.02,9.105,0.011,8.417,0.012,8.024,0.013,6.821,0.017,6.157,0.017,5.906,0.02,9.226,0.014,10.1,0.014,8.025,0.014,1.043,0.014,3896,42,0.541,0.014,0.572,0.016,9.46,0.52,13.365,Gl 471
96,0,PM I12151+4843,Gl 458.2,183.7869,48.73263,0.4818,0.0044,3900,61,0.669,0.038,0.701,0.07,0.14,0.08,M0.4,0.5,11.947,0.02,10.546,0.016,9.615,0.012,8.676,0.02,11.319,0.021,9.947,0.011,9.262,0.013,8.871,0.013,7.649,0.017,6.979,0.017,6.754,0.02,10.066,0.014,10.928,0.014,8.873,0.014,0.4818,0.0066,4037,72,0.605,0.021,0.643,0.023,9.45,0.52,8.55,Gl 458.2
167,0,PM I22290+0139,,337.27441,1.66341,0.4854,0.0046,3903,60,0.575,0.03,0.62,0.062,0.13,0.08,M0.4,0.5,11.9,0.02,10.528,0.016,9.601,0.012,8.655,0.02,11.286,0.021,9.934,0.011,9.245,0.013,8.849,0.013,7.625,0.017,6.98,0.017,6.796,0.02,10.047,0.014,10.905,0.014,8.854,0.014,0.4854,0.007,3924,56,0.569,0.019,0.604,0.021,9.41,0.53,0.27,LSPM J2229+0139
12,0,PM I01432+2750,GJ 3108,25.81647,27.84211,0.5536,0.0051,3852,60,0.626,0.032,0.653,0.065,0.25,0.08,M0.5,0.5,11.828,0.02,10.402,0.016,9.473,0.013,8.519,0.02,11.192,0.02,9.807,0.011,9.113,0.012,8.724,0.013,7.493,0.017,6.8,0.017,6.628,0.02,9.923,0.014,10.792,0.014,8.724,0.014,0.5536,0.0073,3935,58,0.592,0.018,0.628,0.019,9.46,0.5,3.17,GJ 3108
128,0,PM I17303+0532,Gl 678.1A,262.5947,5.54855,1.557,0.014,3675,60,0.543,0.019,0.549,0.055,-0.09,0.08,M0.5,0.0,10.784,0.02,9.334,0.016,8.373,0.013,7.383,0.02,10.138,0.021,8.722,0.011,7.99,0.013,7.58,0.013,6.307,0.017,5.704,0.017,5.486,0.02,8.819,0.014,9.724,0.014,7.595,0.014,1.557,0.022,3811,36,0.504,0.011,0.534,0.014,9.46,0.54,9.74,Gl 678.1A
163,0,PM I21518+4220E,Gl 838.3 B,327.97454,42.34425,0.2096,0.0039,3771,61,0.557,0.023,0.579,0.058,-0.07,0.08,M0.5,0.5,12.95,0.02,11.482,0.016,10.53,0.013,9.56,0.02,12.299,0.021,10.873,0.011,10.158,0.013,9.763,0.013,8.539,0.017,7.879,0.017,7.68,0.02,10.982,0.014,11.878,0.014,9.767,0.014,0.2096,0.0059,3871,43,0.525,0.014,0.556,0.017,9.41,0.57,4.88,Gl 838.3 B
72,0,PM I09319+3619,Gl 353,142.98476,36.3203,0.7419,0.0068,3692,60,0.518,0.021,0.532,0.053,-0.2,0.08,M0.6,0.5,11.688,0.02,10.221,0.016,9.251,0.012,8.237,0.02,11.03,0.02,9.607,0.011,8.85,0.012,8.399,0.013,7.131,0.017,6.494,0.017,6.285,0.02,9.687,0.014,10.615,0.014,8.443,0.014,0.7419,0.0099,3806,37,0.483,0.013,0.51,0.015,9.42,0.54,6.4,Gl 353
97,0,PM I12194+2822,Gl 459.3,184.85048,28.38235,0.4705,0.0044,3993,60,0.643,0.037,0.703,0.07,0.46,0.08,M0.6,0.5,12.082,0.02,10.643,0.016,9.68,0.012,8.675,0.02,11.437,0.021,10.033,0.011,9.286,0.013,8.855,0.013,7.66,0.017,7.005,0.017,6.787,0.02,10.117,0.014,11.03,0.014,8.886,0.014,0.4705,0.0072,4027,69,0.63,0.016,0.672,0.018,9.46,0.48,0.696,Gl 459.3
138,0,PM I18165+4533,Gl 709,274.12955,45.55781,0.6393,0.0071,3785,60,0.557,0.021,0.583,0.058,-0.07,0.08,M0.6,0.5,11.72,0.02,10.296,0.016,9.34,0.013,8.348,0.02,11.086,0.02,9.691,0.011,8.953,0.012,8.542,0.013,7.321,0.017,6.664,0.017,6.471,0.02,9.782,0.014,10.682,0.014,8.56,0.014,0.639,0.011,3881,40,0.528,0.012,0.558,0.015,9.46,0.55,4.866,Gl 709
164,0,PM I22021+0124,Gl 846,330.54288,1.40027,1.791,0.015,3848,60,0.546,0.019,0.59,0.059,0.02,0.08,M0.6,0.5,10.623,0.02,9.179,0.016,8.226,0.012,7.238,0.02,9.982,0.02,8.576,0.011,7.841,0.012,7.437,0.013,6.207,0.017,5.53,0.017,5.347,0.02,8.671,0.014,9.573,0.014,7.449,0.014,1.791,0.022,3875,40,0.538,0.012,0.571,0.015,9.43,0.54,0.444,Gl 846
168,0,PM I22361-0050,Gl 864,339.04034,-0.84159,0.8303,0.0072,3916,61,0.6,0.026,0.644,0.064,0.07,0.08,M0.6,0.5,11.43,0.02,10.002,0.016,9.041,0.012,8.061,0.02,10.807,0.02,9.386,0.011,8.663,0.012,8.254,0.013,7.037,0.017,6.41,0.017,6.209,0.02,9.488,0.014,10.387,0.014,8.267,0.014,0.83,0.011,3976,52,0.577,0.017,0.612,0.018,9.46,0.52,1.934,Gl 864
22,0,PM I02222+4752,Gl 96,35.56097,47.88002,1.49,0.016,3785,62,0.599,0.021,0.614,0.061,0.14,0.08,M0.7,0.5,10.848,0.021,9.413,0.016,8.446,0.013,7.427,0.02,10.196,0.021,8.806,0.011,8.036,0.013,7.611,0.013,6.392,0.017,5.738,0.017,5.563,0.02,8.878,0.014,9.802,0.014,7.64,0.014,1.49,0.023,3892,38,0.566,0.012,0.6,0.013,9.48,0.54,5.412,Gl 96
101,0,PM I13168+1700,Gl 505 B,199.21475,17.01664,1.293,0.022,3709,60,0.539,0.019,0.541,0.054,-0.12,0.03,M0.7,0.5,10.881,0.02,9.522,0.016,8.572,0.012,7.554,0.02,10.259,0.021,8.926,0.011,8.169,0.013,7.738,0.013,6.546,0.017,5.95,0.017,5.748,0.02,8.996,0.014,9.893,0.014,7.771,0.014,1.293,0.033,3840,21,0.502,0.006,0.531,0.008,9.48,0.55,8.883,Gl 505 B
146,0,PM I18580+0554,Gl 740,284.50058,5.90829,1.698,0.015,3834,60,0.57,0.02,0.604,0.06,0.14,0.08,M0.7,0.5,10.667,0.02,9.247,0.016,8.29,0.012,7.288,0.02,10.036,0.02,8.642,0.011,7.897,0.013,7.464,0.013,6.257,0.017,5.62,0.017,5.416,0.02,8.726,0.014,9.633,0.014,7.496,0.014,1.698,0.021,3872,41,0.558,0.013,0.591,0.014,9.48,0.57,0.755,Gl 740
174,0,PM I23182+4617,Gl 894.1,349.57468,46.28927,0.3811,0.0034,3910,60,0.589,0.035,0.644,0.064,0.13,0.08,M0.7,0.5,12.342,0.02,10.922,0.016,9.945,0.012,8.915,0.02,11.708,0.021,10.309,0.011,9.526,0.013,9.096,0.013,7.874,0.017,7.223,0.017,7.008,0.02,10.375,0.014,11.307,0.014,9.131,0.014,0.3811,0.0052,3953,63,0.578,0.019,0.614,0.021,9.41,0.51,0.708,Gl 894.1
63,0,PM I07344+6256,Gl 277.1,113.61445,62.94152,0.5946,0.0086,3681,60,0.385,0.016,0.397,0.04,-0.37,0.08,M0.8,1.0,12.002,0.02,10.397,0.016,9.43,0.013,8.394,0.02,11.296,0.021,9.788,0.011,9.015,0.013,8.568,0.013,7.356,0.017,6.799,0.017,6.565,0.02,9.869,0.014,10.824,0.014,8.613,0.014,0.595,0.014,3667,37,0.386,0.013,0.411,0.015,9.42,0.57,0.065,Gl 277.1
129,0,PM I17355+6140,Gl 685,263.89362,61.68164,0.928,0.011,3846,61,0.541,0.019,0.587,0.059,0.1,0.08,M0.8,1.0,11.423,0.02,10.001,0.016,8.993,0.013,7.897,0.02,10.778,0.021,9.379,0.011,8.533,0.013,8.076,0.013,6.908,0.017,6.293,0.017,6.054,0.02,9.407,0.014,10.385,0.014,8.131,0.014,0.928,0.016,3844,38,0.543,0.012,0.576,0.014,9.43,0.58,0.074,Gl 685
56,0,PM I06461+3233,GJ 3408 B,101.53108,32.55417,0.1313,0.0026,3656,62,0.419,0.019,0.432,0.043,-0.26,0.03,M0.9,1.0,13.771,0.021,12.15,0.016,11.14,0.013,10.078,0.02,13.06,0.021,11.51,0.011,10.705,0.013,10.244,0.013,8.99,0.018,8.368,0.017,8.17,0.02,11.578,0.014,12.567,0.014,10.3,0.014,0.1313,0.004,3674,28,0.414,0.013,0.44,0.013,9.42,0.6,0.185,GJ 3409 B
46,0,PM I05415+5329,Gl 212,85.37804,53.48987,1.205,0.017,3765,60,0.568,0.022,0.593,0.059,0.19,0.03,M1.0,1.0,11.148,0.02,9.739,0.016,8.754,0.012,7.667,0.02,10.512,0.021,9.134,0.011,8.299,0.013,7.829,0.013,6.609,0.017,5.985,0.017,5.755,0.02,9.163,0.014,10.124,0.014,7.893,0.014,1.205,0.025,3819,34,0.55,0.011,0.584,0.011,9.4,0.57,1.505,Gl 212
159,0,PM I20533+6209,Gl 809,313.33246,62.1545,3.348,0.036,3791,60,0.529,0.017,0.581,0.058,-0.06,0.08,M1.0,1.0,10.064,0.02,8.566,0.016,7.636,0.012,6.625,0.02,9.403,0.02,7.989,0.011,7.236,0.012,6.794,0.013,5.486,0.017,4.829,0.017,4.577,0.02,8.069,0.014,8.984,0.014,6.834,0.014,3.348,0.056,3846,37,0.515,0.01,0.546,0.013,9.39,0.54,1.665,Gl 809
88,0,PM I11054+4331,Gl 412A,166.36992,43.52665,3.087,0.042,3619,60,0.383,0.013,0.39,0.039,-0.37,0.08,M1.1,1.0,10.288,0.02,8.778,0.016,7.726,0.012,6.619,0.02,9.616,0.02,8.114,0.011,7.257,0.012,6.794,0.013,5.552,0.017,4.971,0.017,4.739,0.02,8.149,0.014,9.165,0.014,6.852,0.014,3.087,0.068,3649,32,0.376,0.008,0.4,0.009,9.47,0.59,0.567,Gl 412A
104,0,PM I13299+1022,Gl 514,202.49895,10.37731,2.206,0.018,3727,61,0.483,0.016,0.527,0.053,-0.09,0.08,M1.1,1.0,10.547,0.02,9.04,0.015,8.1,0.012,7.035,0.02,9.893,0.02,8.464,0.011,7.667,0.012,7.195,0.013,5.93,0.017,5.308,0.017,5.017,0.02,8.517,0.014,9.46,0.014,7.261,0.014,2.206,0.028,3755,30,0.476,0.009,0.505,0.012,9.45,0.55,0.502,Gl 514
172,0,,Gl 887,346.46683,-35.85307,10.89,0.17,3688,86,0.468,0.022,0.495,0.049,-0.06,0.08,M1.1,1.0,8.808,0.02,7.339,0.016,6.366,0.013,5.287,0.02,8.157,0.021,6.74,0.011,5.921,0.013,5.475,0.013,4.21,0.017,3.576,0.017,3.329,0.02,6.785,0.014,7.742,0.014,5.522,0.014,10.89,0.25,3715,33,0.461,0.009,0.491,0.011,9.46,0.58,0.207,Gl 887
60,0,PM I07232+4605,Gl 272,110.8121,46.08744,0.5915,0.0057,3703,62,0.543,0.025,0.564,0.056,0.05,0.08,M1.2,1.0,12.005,0.021,10.544,0.016,9.56,0.013,8.479,0.02,11.347,0.021,9.942,0.011,9.107,0.013,8.644,0.013,7.366,0.017,6.703,0.017,6.495,0.02,9.976,0.014,10.943,0.014,8.705,0.014,0.5915,0.0083,3786,46,0.518,0.016,0.55,0.018,9.42,0.53,2.911,Gl 272
131,0,PM I17378+1835,Gl 686,264.47214,18.59157,1.418,0.014,3657,60,0.424,0.015,0.442,0.044,-0.25,0.08,M1.2,1.0,11.149,0.02,9.603,0.016,8.595,0.012,7.498,0.02,10.464,0.02,8.978,0.011,8.136,0.012,7.653,0.013,6.382,0.017,5.816,0.017,5.56,0.02,9.013,0.014,10.012,0.014,7.723,0.014,1.418,0.022,3678,29,0.418,0.009,0.445,0.01,9.41,0.57,0.322,Gl 686
10,0,PM I01324-2154,GJ 3098,23.10926,-21.905,0.3354,0.0044,3641,60,0.46,0.022,0.464,0.046,-0.2,0.08,M1.3,1.5,12.656,0.02,11.2,0.016,10.195,0.012,9.056,0.02,12.01,0.02,10.595,0.011,9.705,0.013,9.21,0.013,7.938,0.017,7.364,0.017,7.166,0.02,10.592,0.014,11.599,0.014,9.292,0.014,0.3354,0.0065,3708,35,0.44,0.016,0.468,0.017,9.41,0.6,2.097,GJ 3098
123,0,PM I16581+2544,Gl 649,254.5369,25.74423,1.298,0.013,3700,60,0.507,0.018,0.534,0.053,0.03,0.08,M1.3,1.5,11.149,0.02,9.667,0.016,8.696,0.012,7.602,0.02,10.476,0.02,9.078,0.011,8.236,0.013,7.767,0.013,6.495,0.017,5.875,0.017,5.634,0.02,9.105,0.014,10.075,0.014,7.831,0.014,1.298,0.02,3741,39,0.495,0.012,0.527,0.013,9.42,0.57,1.004,Gl 649
137,0,PM I18051-0301,Gl 701,271.28149,-3.03127,1.72,0.014,3614,60,0.459,0.016,0.471,0.047,-0.22,0.08,M1.3,1.5,10.877,0.02,9.389,0.016,8.399,0.013,7.308,0.02,10.207,0.02,8.779,0.011,7.942,0.012,7.464,0.013,6.18,0.017,5.588,0.017,5.322,0.02,8.812,0.014,9.789,0.014,7.533,0.014,1.72,0.021,3701,26,0.437,0.008,0.464,0.009,9.51,0.54,3.914,Gl 701
3,0,PM I00183+4401,Gl 15A,4.59542,44.02278,5.669,0.045,3603,60,0.388,0.013,0.398,0.04,-0.3,0.08,M1.4,1.5,9.662,0.02,8.119,0.016,7.116,0.012,5.991,0.02,8.973,0.02,7.505,0.011,6.638,0.012,6.148,0.013,4.896,0.017,4.303,0.017,4.039,0.02,7.523,0.014,8.532,0.014,6.225,0.014,5.669,0.07,3626,32,0.382,0.007,0.406,0.009,9.48,0.56,0.345,Gl 15A
106,0,PM I13457+1453,Gl 526,206.43251,14.89139,4.013,0.053,3649,60,0.478,0.016,0.465,0.046,-0.31,0.08,M1.4,1.5,9.926,0.02,8.48,0.016,7.463,0.012,6.316,0.02,9.289,0.02,7.866,0.011,6.97,0.013,6.442,0.013,5.24,0.017,4.711,0.017,4.563,0.02,7.854,0.014,8.87,0.014,6.545,0.014,4.013,0.081,3755,32,0.45,0.009,0.475,0.01,9.51,0.56,6.178,Gl 526
162,0,PM I21092-1318,Gl 821,317.32251,-13.30223,0.4185,0.0051,3545,60,0.369,0.016,0.356,0.036,-0.45,0.08,M1.4,1.5,12.397,0.021,10.901,0.016,9.885,0.013,8.765,0.02,11.731,0.021,10.275,0.011,9.406,0.013,8.927,0.013,7.705,0.017,7.189,0.017,6.936,0.02,10.294,0.014,11.299,0.014,8.998,0.014,0.4185,0.0085,3620,33,0.352,0.011,0.372,0.014,9.43,0.58,2.871,Gl 821
176,0,PM I23245+5751S,Gl 895,351.12714,57.85435,1.0011,0.0093,3764,60,0.539,0.02,0.585,0.058,0.31,0.08,M1.4,1.5,11.503,0.02,10.043,0.016,9.046,0.012,7.925,0.02,10.843,0.021,9.441,0.011,8.565,0.013,8.076,0.013,6.796,0.017,6.105,0.017,5.879,0.02,9.447,0.014,10.443,0.014,8.155,0.014,1.001,0.014,3746,35,0.545,0.012,0.578,0.012,9.41,0.57,0.23,Gl 895
182,0,PM I23492+0224,Gl 908,357.30206,2.40136,2.362,0.019,3646,60,0.407,0.014,0.408,0.041,-0.45,0.08,M1.4,1.5,10.446,0.02,9.004,0.016,8.023,0.013,6.89,0.02,9.799,0.021,8.416,0.011,7.541,0.013,7.026,0.013,5.824,0.017,5.32,0.017,5.088,0.02,8.415,0.014,9.407,0.014,7.121,0.014,2.362,0.033,3704,29,0.394,0.007,0.42,0.008,9.45,0.55,2.033,Gl 908
17,0,PM I02123+0334,Gl 87,33.0877,3.57588,0.9124,0.0074,3638,62,0.443,0.017,0.44,0.044,-0.36,0.08,M1.5,1.5,11.488,0.02,10.062,0.016,9.085,0.012,7.944,0.02,10.848,0.02,9.482,0.011,8.596,0.013,8.09,0.013,6.858,0.017,6.312,0.017,6.124,0.02,9.472,0.014,10.461,0.014,8.179,0.014,0.912,0.012,3721,35,0.421,0.011,0.448,0.012,9.44,0.57,3.479,Gl 87
32,0,PM I03181+3815,Gl 134,49.53108,38.25215,0.7796,0.0066,3700,61,0.628,0.031,0.639,0.064,0.53,0.08,M1.5,1.5,11.766,0.021,10.284,0.016,9.283,0.012,8.167,0.02,11.1,0.021,9.674,0.011,8.807,0.013,8.332,0.013,7.08,0.017,6.395,0.017,6.156,0.02,9.689,0.014,10.683,0.014,8.4,0.014,0.78,0.012,3795,63,0.585,0.03,0.618,0.022,9.51,0.49,5.64,Gl 134
44,0,PM I05314-0340,Gl 205,82.86417,-3.67722,6.34,0.054,3801,60,0.581,0.019,0.633,0.063,0.49,0.08,M1.5,1.5,9.432,0.02,7.932,0.016,7.008,0.013,5.931,0.02,8.767,0.02,7.376,0.011,6.566,0.012,6.096,0.013,4.796,0.017,4.123,0.017,3.856,0.019,7.416,0.014,8.354,0.014,6.161,0.014,6.34,0.13,3805,31,0.579,0.009,0.613,0.01,9.41,0.48,0.655,Gl 205
80,0,PM I10251-1013,Gl 390,156.29526,-10.22871,0.8767,0.0073,3700,60,0.497,0.02,0.52,0.052,-0.02,0.08,M1.5,1.5,11.631,0.02,10.159,0.016,9.165,0.012,8.045,0.02,10.971,0.02,9.556,0.011,8.686,0.013,8.194,0.013,6.93,0.017,6.278,0.017,6.086,0.02,9.566,0.014,10.559,0.014,8.275,0.014,0.877,0.011,3743,41,0.485,0.014,0.516,0.016,9.46,0.56,0.93,Gl 390
171,0,PM I22565+1633,Gl 880,344.14517,16.55347,3.545,0.027,3720,60,0.549,0.018,0.574,0.057,0.21,0.08,M1.5,1.5,10.15,0.02,8.666,0.016,7.672,0.012,6.546,0.02,9.482,0.02,8.067,0.011,7.19,0.013,6.707,0.013,5.39,0.017,4.722,0.017,4.543,0.02,8.074,0.014,9.072,0.014,6.782,0.014,3.545,0.041,3760,35,0.537,0.01,0.57,0.011,9.46,0.52,0.893,Gl 880
26,0,PM I02441+4913W,,41.04275,49.23169,1.064,0.023,3685,60,0.498,0.017,0.521,0.052,0.06,0.03,M1.7,1.5,11.484,0.02,9.987,0.016,8.975,0.012,7.815,0.02,10.824,0.02,9.381,0.011,8.468,0.013,7.961,0.013,6.713,0.017,6.105,0.017,5.857,0.02,9.366,0.014,10.395,0.014,8.053,0.014,1.064,0.035,3720,22,0.489,0.007,0.521,0.008,9.38,0.59,0.662,LSPM J0244+4913W
66,0,PM I07482+2022,Gl 289,117.06806,20.36827,0.2703,0.0024,3576,60,0.354,0.018,0.348,0.035,-0.45,0.08,M1.7,1.5,13.002,0.021,11.455,0.016,10.459,0.012,9.305,0.02,12.306,0.021,10.86,0.011,9.96,0.013,9.443,0.013,8.157,0.017,7.604,0.017,7.402,0.02,10.851,0.014,11.875,0.014,9.541,0.014,0.2703,0.004,3609,33,0.345,0.015,0.364,0.019,9.42,0.57,0.687,Gl 289
102,0,PM I13196+3320,Gl 507.1,199.91724,33.34655,0.6333,0.0051,3650,60,0.598,0.025,0.597,0.06,0.4,0.08,M1.8,2.0,12.105,0.02,10.617,0.016,9.612,0.013,8.441,0.02,11.431,0.021,10.025,0.011,9.095,0.012,8.571,0.013,7.259,0.017,6.577,0.017,6.411,0.02,9.995,0.014,11.027,0.014,8.678,0.014,0.6333,0.0078,3752,36,0.56,0.013,0.591,0.013,9.5,0.5,5.192,Gl 507.1
